回報者名稱,時間,怪物 ID,怪物名稱,基本數值異動,移除掉落物,新增掉落物,移除地圖,新增地圖,地圖座標,是否修正,處理狀態
丹丹漢堡,2025/12/24 下午 4:21:16,1311,狂暴野豬,"血量: 25,098 -> 318,996
物理防禦: 108 -> 216
魔法防禦: 43 -> 86",,,,,,TRUE,成功於 2025-12-24 22:29 處理
丹丹漢堡,2025/12/24 下午 4:22:34,1306,狂暴大腳熊,"血量: 24,001 -> 286,958
物理防禦: 127 -> 254
魔法防禦: 31 -> 62",,,,,,TRUE,成功於 2025-12-24 22:29 處理
Wallaby,2025/12/25 上午 8:48:07,1192,惡靈,"職業經驗值: ??? -> 2,244",,,,,,TRUE,成功於 2025-12-25 10:22 處理
Wallaby,2025/12/25 上午 8:48:32,1117,闇神官,"職業經驗值: ??? -> 2,492",,,,,,TRUE,成功於 2025-12-25 10:22 處理
兩天,2025/12/25 上午 9:50:25,1213,獸人戰士長,"經驗值: ??? -> 62,377
職業經驗值: ??? -> 12,475",,,,,,TRUE,成功於 2025-12-25 17:51 處理
兩天,2025/12/25 上午 9:50:51,1211,伊特瓢蟲,"經驗值: ??? -> 53,232
職業經驗值: ??? -> 10,646",,,,,,TRUE,成功於 2025-12-25 17:51 處理
兩天,2025/12/25 上午 9:53:09,1189,獸人弓箭手,"經驗值: ??? -> 56,901
職業經驗值: ??? -> 11,380",,,,,,TRUE,成功於 2025-12-25 17:51 處理
兩天,2025/12/25 上午 10:02:20,2805,雄壯獸人戰士長,"經驗值: ??? -> 623,772
職業經驗值: ??? -> 124,774",,,,,,TRUE,成功於 2025-12-25 17:51 處理
兩天,2025/12/25 下午 1:32:14,1109,小惡魔,"經驗值: 11,680 -> 54,972
職業經驗值: 3,582 -> 10,994",,,,,,TRUE,成功於 2025-12-25 17:51 處理
兩天,2025/12/25 下午 1:46:54,1179,白幽靈,"經驗值: 818 -> 1,098
職業經驗值: 203 -> 219",,,,,,TRUE,成功於 2025-12-25 17:51 處理
兩天,2025/12/25 下午 1:48:14,1035,赤蒼蠅,"經驗值: 3,704 -> 3,594
職業經驗值: 1,089 -> 718",,,,,,TRUE,成功於 2025-12-25 17:51 處理
,2025/12/25 下午 3:13:51,1151,麥斯特,100%命中: 350 -> 372,,,,,,TRUE,成功於 2025-12-25 17:51 處理
,2025/12/26 上午 2:00:52,1117,闇神官,,,聖職之帽(2217),,,,TRUE,成功於 2026-01-27 10:06 處理
兩天,2025/12/26 下午 6:02:11,1180,九尾狐,"職業經驗值: 1,619 -> 1,046",,,,,,TRUE,成功於 2025-12-26 18:29 處理
兩天,2025/12/26 下午 6:02:44,1110,土人,"職業經驗值: 1,315 -> 731",,,,,,TRUE,成功於 2025-12-26 18:29 處理
兩天,2025/12/26 下午 6:03:18,1129,鬼火,"職業經驗值: 1,220 -> 673",,,,,,TRUE,成功於 2025-12-26 18:29 處理
奶油,2025/12/26 下午 11:33:31,2871,憤怒古鐘魔,"血量: 27,780 -> 364,900",,,,,,TRUE,成功於 2025-12-28 22:25 處理
奶油,2025/12/26 下午 11:34:14,1101,小巴風特,"血量: 59,817 -> 65,315",,,,,,TRUE,成功於 2025-12-28 22:25 處理
奶油,2025/12/27 上午 11:25:39,2604,雄壯腐屍戰俘,"血量: 80,450 -> 307,130",,,,,,TRUE,成功於 2025-12-28 22:25 處理
,2025/12/27 下午 6:57:48,2892,迅捷艾吉歐蜈蚣,"血量: 112,540 -> 11,253",,,,,,TRUE,成功於 2025-12-28 22:25 處理
青楓,2025/12/27 下午 11:46:16,1248,玩具士兵,"經驗值: 48,709 -> 44,280
職業經驗值: 9,742 -> 8,180",,,,,,TRUE,成功於 2025-12-28 22:25 處理
青楓,2025/12/27 下午 11:46:47,1249,邪惡禮盒,"經驗值: 46,333 -> 42,120
職業經驗值: 9,267 -> 7,781",,,,,,TRUE,成功於 2025-12-30 12:31 處理
青楓,2025/12/27 下午 11:47:15,1265,綠餅人,"經驗值: 20,762 -> 19,737
職業經驗值: 4,152 -> 3,676",,,,,,TRUE,成功於 2025-12-30 12:31 處理
青楓,2025/12/27 下午 11:47:44,1246,甜餅人,"經驗值: 21,711 -> 19,737
職業經驗值: 4,342 -> 3,676",,,,,,TRUE,成功於 2025-12-30 12:31 處理
青楓,2025/12/27 下午 11:48:01,1265,綠餅人,"經驗值: 20,762 -> 18,874
職業經驗值: 4,152 -> 3,487",,,,,,TRUE,成功於 2025-12-30 12:31 處理
青楓,2025/12/27 下午 11:48:26,1118,噬人花,職業經驗值: 954 -> 961,,,,,,TRUE,成功於 2025-12-30 12:31 處理
青楓,2025/12/27 下午 11:48:48,1588,聖誕獸人戰士,"經驗值: 117 -> 4,500
職業經驗值: 72 -> 832",,,,,,TRUE,成功於 2025-12-30 12:31 處理
青楓,2025/12/27 下午 11:49:05,1245,聖誕哥布靈,"經驗值: 127 -> 4,150
職業經驗值: 77 -> 768",,,,,,TRUE,成功於 2025-12-30 12:31 處理
青楓,2025/12/27 下午 11:49:33,1100,艾斯蜘蛛,職業經驗值: 481 -> 484,,,,,,TRUE,成功於 2025-12-30 12:31 處理
青楓,2025/12/27 下午 11:50:00,1273,獸人女戰士,"經驗值: 2,390 -> 2,336
職業經驗值: 634 -> 431",,,,,,TRUE,成功於 2025-12-30 12:31 處理
青楓,2025/12/27 下午 11:50:24,1023,獸人戰士,職業經驗值: 391 -> 362,,,,,,TRUE,成功於 2025-12-30 12:31 處理
青楓,2025/12/27 下午 11:50:52,1686,獸人嬰兒,"經驗值: 2,154 -> 1,659
職業經驗值: 567 -> 307",,,,,,TRUE,成功於 2025-12-30 12:31 處理
青楓,2025/12/27 下午 11:51:30,1125,榔頭哥布靈,"經驗值: 2,832 -> 2,665
職業經驗值: 762 -> 492",,,,,,TRUE,成功於 2025-12-30 12:31 處理
青楓,2025/12/27 下午 11:51:50,1122,刺刀哥布靈,"經驗值: 2,592 -> 2,271
職業經驗值: 729 -> 419",,,,,,TRUE,成功於 2025-12-30 12:31 處理
青楓,2025/12/27 下午 11:52:12,1124,大斧哥布靈,"經驗值: 2,146 -> 1,959
職業經驗值: 594 -> 362",,,,,,TRUE,成功於 2025-12-30 12:31 處理
青楓,2025/12/27 下午 11:52:32,1123,鏈錘哥布靈,"經驗值: 2,146 -> 1,853
職業經驗值: 594 -> 342",,,,,,TRUE,成功於 2025-12-30 12:31 處理
,2025/12/28 上午 8:11:30,1193,鐘怪,"血量: 29,172 -> 50,000",,,,,,TRUE,成功於 2025-12-30 12:31 處理
奶油,2025/12/28 下午 7:33:08,1199,朽魔,"血量: 3,869 -> 28,683",,,,,,TRUE,成功於 2025-12-30 12:31 處理
奶油,2025/12/28 下午 7:34:21,2871,憤怒古鐘魔,"血量: 27,780 -> 364,900",,,,,,TRUE,成功於 2025-12-30 12:31 處理
奶油,2025/12/28 下午 7:34:58,1101,小巴風特,"血量: 59,817 -> 65,315",,,,,,TRUE,成功於 2025-12-30 12:31 處理
會說話的金吉拉,2025/12/28 下午 9:09:39,1252,卡崙,"血量: ??? -> 93,749,250",,,,,,TRUE,成功於 2025-12-30 12:31 處理
會說話的金吉拉,2025/12/28 下午 9:10:18,1251,冰暴騎士,"血量: ??? -> 87,009,000",,,,,,TRUE,成功於 2025-12-30 12:31 處理
奶油,2025/12/30 上午 8:52:35,1154,帕莎納,"血量: ??? -> 133,635",,,,,,TRUE,成功於 2025-12-30 12:31 處理
奶油,2025/12/30 上午 8:53:59,1199,朽魔,"血量: 3,869 -> 28,683",,,,,,TRUE,成功於 2025-12-30 12:31 處理
青楓,2025/12/30 下午 4:12:04,2865,菁英甜餅人,"經驗值: ??? -> 283,110
職業經驗值: ??? -> 56,610",,,,,,TRUE,成功於 2025-12-30 18:30 處理
兩天,2025/12/31 上午 11:34:09,1193,鐘怪,"經驗值: 32,896 -> 29,905
職業經驗值: 6,580 -> 5,981",,,,,,TRUE,成功於 2026-01-20 10:26 處理
兩天,2025/12/31 上午 11:35:58,1377,邪靈魔導士,"經驗值: ??? -> 42,945
職業經驗值: ??? -> 8,589",,,,,,TRUE,成功於 2026-01-01 10:34 處理
兩天,2025/12/31 上午 11:37:24,1191,邪惡箱,"經驗值: 1,127 -> 1,024
職業經驗值: 225 -> 204",,,,,,TRUE,成功於 2026-01-20 10:26 處理
,2026/1/1 上午 12:58:42,1040,巨石怪,"經驗值: 5,792 -> 7,159
職業經驗值: 1,695 -> 1,431",,,,,,TRUE,成功於 2026-01-20 10:26 處理
兩天,2026/1/1 上午 11:12:20,2651,迅捷鬼女,"經驗值: 57,600 -> 50,956
職業經驗值: 16,965 -> 10,186",,,,,,TRUE,成功於 2026-01-20 10:26 處理
兩天,2026/1/1 上午 11:13:15,2651,迅捷鬼女,"經驗值: 57,600 -> 50,955
職業經驗值: 16,965 -> 10,185",,,,,,TRUE,成功於 2026-01-20 10:26 處理
兩天,2026/1/1 上午 11:13:40,1170,鬼女,"職業經驗值: 1,131 -> 679",,,,,,TRUE,成功於 2026-01-20 10:26 處理
兩天,2026/1/2 上午 12:21:05,2851,憤怒土人,"經驗值: 66,390 -> 54,855
職業經驗值: 19,724 -> 10,965",,,,,,TRUE,成功於 2026-01-20 10:26 處理
兩天,2026/1/2 上午 12:22:41,1016,邪骸弓箭手,"經驗值: 2,180 -> 1,968
職業經驗值: 531 -> 393",,,,,,TRUE,成功於 2026-01-20 10:26 處理
兩天,2026/1/2 上午 12:23:12,1277,將軍魔碑,"職業經驗值: 1,063 -> 667",,,,,,TRUE,成功於 2026-01-20 10:26 處理
兩天,2026/1/3 下午 1:26:14,1102,巫婆,"經驗值: ??? -> 63,782
職業經驗值: ??? -> 12,756",,,,,,TRUE,成功於 2026-01-04 14:40 處理
兩天,2026/1/3 下午 1:29:31,2885,憤怒巫婆,"經驗值: ??? -> 637,824
職業經驗值: ??? -> 127,564",,,,,,TRUE,成功於 2026-01-04 14:40 處理
兩天,2026/1/3 下午 1:35:43,1131,裘卡,"經驗值: ??? -> 69,388
職業經驗值: ??? -> 13,877",,,,,,TRUE,成功於 2026-01-04 14:40 處理
兩天,2026/1/3 下午 7:39:37,1193,鐘怪,"經驗值: 32,896 -> 29,905
職業經驗值: 6,580 -> 5,981",,,,,,TRUE,成功於 2026-01-20 10:26 處理
,2026/1/3 下午 8:27:22,1269,古鐘魔,,,虎爪拳套(560054),,,,TRUE,成功於 2026-01-27 10:01 處理
翻滾吧社畜,2026/1/3 下午 8:48:48,1095,白蟻,"經驗值: 1,048 -> 638
職業經驗值: 262 -> 128",,,,,,TRUE,成功於 2026-01-20 10:26 處理
翻滾吧社畜,2026/1/3 下午 8:49:30,1105,兵蟻,"經驗值: 946 -> 539
職業經驗值: 233 -> 108",,,,,,TRUE,成功於 2026-01-20 10:26 處理
翻滾吧社畜,2026/1/3 下午 8:50:06,1176,黑蟻,"經驗值: ??? -> 359
職業經驗值: ??? -> 72",,,,,,TRUE,成功於 2026-01-08 16:42 處理
翻滾吧社畜,2026/1/3 下午 8:51:19,1005,吸血蝙蝠,"經驗值: 480 -> 241
職業經驗值: 118 -> 49",,,,,,TRUE,成功於 2026-01-20 10:26 處理
翻滾吧社畜,2026/1/3 下午 8:52:23,1097,白蟻幼蟲,"經驗值: 722 -> 464
職業經驗值: 183 -> 93",,,,,,TRUE,成功於 2026-01-20 10:26 處理
Eric,2026/1/3 下午 11:19:19,1377,邪靈魔導士,,,雙手巨劍(600068),,,,TRUE,成功於 2026-01-27 10:06 處理
,2026/1/3 下午 11:50:41,1206,虎蜥人,"血量: 67,099 -> 70,850
經驗值: ??? -> 51,012
職業經驗值: ??? -> 9,352",,,,,,TRUE,成功於 2026-01-08 16:42 處理
兩天,2026/1/4 上午 1:12:20,2854,雄壯小惡魔,"經驗值: 175,200 -> 907,038
職業經驗值: 53,722 -> 181,401",,,,,,TRUE,成功於 2026-01-08 16:42 處理
蝶兒,2026/1/4 下午 2:19:50,1272,黑暗之王,,,修女的帽子(5093),,,,TRUE,成功於 2026-01-27 10:02 處理
奶油,2026/1/4 下午 9:11:25,1163,幽靈劍士,"血量: 26,226 -> 28,900",,,,,,TRUE,成功於 2026-01-08 16:42 處理
奶油,2026/1/4 下午 9:12:16,2691,雄壯幽靈劍士,"血量: 184,080 -> 289,000
物理防禦: 89 -> 178",,,,,,TRUE,成功於 2026-01-08 16:42 處理
奶油,2026/1/5 上午 9:58:33,1163,幽靈劍士,"血量: 26,226 -> 28,900",,,,,,TRUE,成功於 2026-01-08 16:42 處理
奶油,2026/1/5 上午 9:59:00,2691,雄壯幽靈劍士,"血量: 184,080 -> 289,000",,,,,,TRUE,成功於 2026-01-08 16:42 處理
奶油,2026/1/5 上午 9:59:27,2691,雄壯幽靈劍士,"血量: 184,080 -> 289,000
物理防禦: 89 -> 178",,,,,,TRUE,成功於 2026-01-08 16:42 處理
rose,2026/1/7 上午 3:59:16,2854,雄壯小惡魔,"經驗值: 175,200 -> 1,216,255
職業經驗值: 53,722 -> 226,750",,,,,,TRUE,成功於 2026-01-08 16:42 處理
,2026/1/8 下午 4:10:44,1169,邪骸礦工,"100%命中: 306 -> 314
95%迴避: 365 -> 332",,,,,,TRUE,成功於 2026-01-08 16:42 處理
兩天,2026/1/8 下午 11:48:19,2894,菁英捲甲蟲,"經驗值: ??? -> 134,490
職業經驗值: ??? -> 26,895",,,,,,TRUE,成功於 2026-01-11 21:37 處理
兩天,2026/1/9 上午 12:00:11,2717,憤怒梅納海葵,"經驗值: ??? -> 596,100",,,,,,TRUE,成功於 2026-01-11 21:37 處理
兩天,2026/1/9 上午 11:32:42,2910,狡猾鐘怪,"經驗值: ??? -> 448,575
職業經驗值: ??? -> 89,715",,,,,,TRUE,成功於 2026-01-11 21:37 處理
rose,2026/1/10 上午 4:32:42,1302,迷幻之王,"經驗值: ??? -> 196,489
職業經驗值: ??? -> 36,632",,,,,,TRUE,成功於 2026-01-11 21:37 處理
Yuuhei,2026/1/10 下午 12:48:14,1300,狂暴綠棉蟲,"血量: 25,656 -> 313,474
物理防禦: 100 -> 200
魔法防禦: 42 -> 84",,,,,,TRUE,成功於 2026-01-11 21:37 處理
Yuuhei,2026/1/10 下午 12:48:52,1293,狂暴克瑞米,"血量: 25,084 -> 319,602
物理防禦: 76 -> 152
魔法防禦: 37 -> 74",,,,,,TRUE,成功於 2026-01-11 21:37 處理
,2026/1/11 下午 4:43:17,1269,古鐘魔,,瑪哪樹枝(1019),,,,,TRUE,成功於 2026-01-27 10:06 處理
,2026/1/11 下午 7:21:13,1166,野豬,"經驗值: 4,494 -> 6,524
職業經驗值: 1,247 -> 1,196",,,,,,FALSE,
,2026/1/13 下午 4:49:42,1505,銀月魔女,,,"銀月魔女的皮鞋(22194), (服飾)銀月魔女之新月(歸屬)(480712)",,,,TRUE,成功於 2026-01-27 10:06 處理
兩天,2026/1/13 下午 4:58:14,1509,南瓜魂,"經驗值: 17,158 -> 76,974
職業經驗值: 4,562 -> 15,394",,,,,,TRUE,成功於 2026-01-13 17:15 處理
兩天,2026/1/13 下午 5:05:29,1505,銀月魔女,"經驗值: 20,568 -> 108,132
職業經驗值: 6,380 -> 21,626",,,,,,TRUE,成功於 2026-01-13 17:15 處理
r,2026/1/13 下午 9:54:46,1508,萬聖魔,"血量: 23,082 -> 115,410
經驗值: 15,250 -> 69,246
職業經驗值: 4,053 -> 13,849",,,,,,TRUE,成功於 2026-01-14 09:09 處理
,2026/1/13 下午 9:59:26,1315,風靈龜,,,拳刃(610066),,,,TRUE,成功於 2026-01-27 10:02 處理
,2026/1/13 下午 10:11:26,1315,風靈龜,,,天衣 月舞(2327),,,,TRUE,成功於 2026-01-27 10:01 處理
,2026/1/13 下午 10:12:31,1315,風靈龜,"血量: 8,977 -> 164,977",,,,,,TRUE,成功於 2026-01-14 09:09 處理
,2026/1/13 下午 10:13:33,1318,火焰龜,"血量: 8,180 -> 188,184",,,,,,TRUE,成功於 2026-01-14 09:09 處理
,2026/1/13 下午 10:13:53,1319,水靈龜,"血量: 9,990 -> 196,131",,,,,,TRUE,成功於 2026-01-14 09:09 處理
,2026/1/13 下午 10:14:16,1316,岩石龜,"血量: 8,768 -> 170,798",,,,,,TRUE,成功於 2026-01-14 09:09 處理
,2026/1/13 下午 10:14:33,1314,果樹龜,"血量: 6,575 -> 131,422",,,,,,TRUE,成功於 2026-01-14 09:09 處理
,2026/1/13 下午 10:15:09,1322,彈簧兔,"血量: 6,684 -> 130,834",,,,,,TRUE,成功於 2026-01-14 09:09 處理
,2026/1/13 下午 10:15:28,1321,刺尾蜻蜓,"血量: 4,680 -> 112,165",,,,,,TRUE,成功於 2026-01-14 09:09 處理
,2026/1/13 下午 10:16:08,1508,萬聖魔,"血量: 23,082 -> 115,410",,,,,,TRUE,成功於 2026-01-14 09:09 處理
,2026/1/13 下午 10:16:27,1509,南瓜魂,"血量: 25,404 -> 128,290",,,,,,TRUE,成功於 2026-01-14 09:09 處理
,2026/1/13 下午 10:16:56,1503,鬼娃樹,"血量: 29,200 -> 153,300",,,,,,TRUE,成功於 2026-01-14 09:09 處理
,2026/1/13 下午 10:17:24,1506,假面鬼,"血量: 29,015 -> 114,348",,,,,,TRUE,成功於 2026-01-14 09:09 處理
,2026/1/13 下午 10:17:55,1504,無顱武士,"血量: 35,620 -> 192,348",,,,,,TRUE,成功於 2026-01-14 09:09 處理
,2026/1/13 下午 10:18:20,1507,嗜血怪人,"血量: 33,623 -> 184,926",,,,,,TRUE,成功於 2026-01-14 09:09 處理
,2026/1/13 下午 10:18:49,1505,銀月魔女,"血量: 33,068 -> 180,220",,,,,,TRUE,成功於 2026-01-14 09:09 處理
r,2026/1/13 下午 10:40:50,1503,鬼娃樹,"血量: 29,200 -> 153,300
經驗值: 17,062 -> 91,980
職業經驗值: 5,279 -> 18,396",,,,,,TRUE,成功於 2026-01-14 09:09 處理
r,2026/1/13 下午 10:41:16,1510,兔斯拉,"血量: 25,887 -> 132,022
經驗值: 15,962 -> 79,213
職業經驗值: 4,929 -> 15,842",,,,,,TRUE,成功於 2026-01-14 09:09 處理
r,2026/1/13 下午 10:42:06,1506,假面鬼,"血量: 29,015 -> 149,427
經驗值: 17,138 -> 89,656
職業經驗值: 5,045 -> 17,931",,,,,,TRUE,成功於 2026-01-14 09:09 處理
兩天,2026/1/13 下午 11:32:20,1509,南瓜魂,,,書(540106),,,,TRUE,成功於 2026-01-27 10:02 處理
奶油,2026/1/14 上午 12:32:17,1505,銀月魔女,"血量: 33,068 -> 180,220",,,,,,TRUE,成功於 2026-01-14 09:09 處理
奶油,2026/1/14 上午 12:32:57,1507,嗜血怪人,"血量: 33,623 -> 184,926",,,,,,TRUE,成功於 2026-01-14 09:09 處理
奶油,2026/1/14 上午 12:33:25,1509,南瓜魂,"血量: 25,404 -> 128,290",,,,,,TRUE,成功於 2026-01-14 09:09 處理
奶油,2026/1/14 上午 12:33:48,1504,無顱武士,"血量: 35,620 -> 192,348",,,,,,TRUE,成功於 2026-01-14 09:09 處理
奶油,2026/1/14 上午 12:34:15,1503,鬼娃樹,"血量: 29,200 -> 153,300",,,,,,TRUE,成功於 2026-01-14 09:09 處理
奶油,2026/1/14 上午 12:34:42,1508,萬聖魔,"血量: 23,082 -> 115,410",,,,,,TRUE,成功於 2026-01-14 09:09 處理
奶油,2026/1/14 上午 12:35:08,1506,假面鬼,"血量: 29,015 -> 149,427",,,,,,TRUE,成功於 2026-01-14 09:09 處理
奶油,2026/1/14 上午 12:36:00,1510,兔斯拉,"血量: 25,887 -> 132,023",,,,,,TRUE,成功於 2026-01-14 09:09 處理
奶油,2026/1/14 上午 12:36:23,1315,風靈龜,"血量: 8,977 -> 219,300",,,,,,TRUE,成功於 2026-01-14 09:09 處理
奶油,2026/1/14 上午 12:36:47,1318,火焰龜,"血量: 8,180 -> 188,184",,,,,,TRUE,成功於 2026-01-14 09:09 處理
奶油,2026/1/14 上午 12:37:12,1319,水靈龜,"血量: 9,990 -> 196,131",,,,,,TRUE,成功於 2026-01-14 09:09 處理
奶油,2026/1/14 上午 12:37:35,1316,岩石龜,"血量: 8,768 -> 170,798",,,,,,TRUE,成功於 2026-01-14 09:09 處理
奶油,2026/1/14 上午 12:38:05,1314,果樹龜,"血量: 6,575 -> 131,422",,,,,,TRUE,成功於 2026-01-14 09:09 處理
奶油,2026/1/14 上午 12:38:29,1322,彈簧兔,"血量: 6,684 -> 130,834",,,,,,TRUE,成功於 2026-01-14 09:09 處理
奶油,2026/1/14 上午 12:39:07,1321,刺尾蜻蜓,"血量: 4,680 -> 112,165",,,,,,TRUE,成功於 2026-01-14 09:09 處理
PENG,2026/1/14 上午 5:21:43,1505,銀月魔女,,(服飾)銀月魔女之新月(歸屬)(480712),(服飾)蝙蝠耳朵(歸屬)(410572),,,,TRUE,成功於 2026-01-27 10:01 處理
PENG,2026/1/14 上午 6:36:47,1506,假面鬼,,,(服飾)假面鬼披肩(歸屬)(420724),,,,TRUE,成功於 2026-01-27 10:01 處理
PENG,2026/1/14 上午 7:17:24,1269,古鐘魔,,,(服飾)念動齒輪(歸屬)(480714),,,,TRUE,成功於 2026-01-27 10:01 處理
,2026/1/14 下午 12:48:22,1321,刺尾蜻蜓,,,斗篷(480381),,,,TRUE,成功於 2026-01-27 10:01 處理
,2026/1/14 下午 12:48:55,1322,彈簧兔,,,玉兔頭飾(5457),,,,TRUE,成功於 2026-01-27 10:01 處理
,2026/1/14 下午 1:12:29,1316,岩石龜,,,秘衣 美德(2318),,,,TRUE,成功於 2026-01-27 10:02 處理
,2026/1/14 下午 1:17:40,2647,雄壯岩石龜,,,秘衣 美德(2318),,,,TRUE,成功於 2026-01-27 10:02 處理
,2026/1/14 下午 1:29:09,1314,果樹龜,,,懶洋洋的烏龜(18668),,,,TRUE,成功於 2026-01-27 10:06 處理
,2026/1/14 下午 1:30:01,1315,風靈龜,,,寶石鋼盾(28949),,,,TRUE,成功於 2026-01-27 10:06 處理
,2026/1/14 下午 1:30:18,2889,菁英風靈龜,,,寶石鋼盾(28949),,,,TRUE,成功於 2026-01-27 10:06 處理
,2026/1/14 下午 1:32:05,1319,水靈龜,,,冰凍玫瑰(19376),,,,TRUE,成功於 2026-01-27 10:01 處理
,2026/1/14 下午 1:34:05,2831,菁英水靈龜,,,冰凍玫瑰(19376),,,,TRUE,成功於 2026-01-27 10:01 處理
,2026/1/14 下午 2:01:15,1316,岩石龜,,,毀滅之斧(620033),,,,TRUE,成功於 2026-01-27 10:06 處理
,2026/1/14 下午 2:02:43,1316,岩石龜,,,秘衣 美德(2318),,,,TRUE,成功於 2026-01-27 10:02 處理
,2026/1/14 下午 2:04:38,1314,果樹龜,,,石頭一角(7067),,,,TRUE,成功於 2026-01-27 10:01 處理
PENG,2026/1/14 下午 4:18:47,1321,刺尾蜻蜓,,,(服飾)嘴叼鉛筆(歸屬)(420725),,,,TRUE,成功於 2026-01-27 10:01 處理
兩天,2026/1/14 下午 4:22:51,1314,果樹龜,,,尖刃鐵錘(590070),,,,TRUE,成功於 2026-01-27 10:01 處理
PENG,2026/1/14 下午 4:36:07,1509,南瓜魂,,,(服飾)南瓜魂連帽披肩(歸屬)(401192),,,,TRUE,成功於 2026-01-27 10:01 處理
,2026/1/14 下午 5:27:53,1314,果樹龜,,,長柄短劍(510182),,,,TRUE,成功於 2026-01-27 10:01 處理
,2026/1/15 上午 1:56:02,1505,銀月魔女,,瘋兔別針(2718),,,,,TRUE,成功於 2026-01-27 10:06 處理
,2026/1/15 上午 1:56:40,1504,無顱武士,,,無顱武士的手套(32201),,,,TRUE,成功於 2026-01-27 10:06 處理
YI,2026/1/15 上午 10:11:29,1321,刺尾蜻蜓,,,鷹爪拳套(560062),,,,TRUE,成功於 2026-01-27 10:06 處理
,2026/1/15 下午 6:15:02,1318,火焰龜,"經驗值: ??? -> 111,782
職業經驗值: ??? -> 24,841",,,,,,TRUE,成功於 2026-01-15 18:38 處理
,2026/1/15 下午 6:19:49,1315,風靈龜,"經驗值: ??? -> 130,266
職業經驗值: ??? -> 28,948",,,,,,TRUE,成功於 2026-01-15 18:38 處理
PENG,2026/1/15 下午 6:46:40,1195,飛行魔書,,,(服飾)飛行魔書帽(歸屬)(401186),,,,TRUE,成功於 2026-01-27 10:01 處理
PENG,2026/1/15 下午 6:55:42,1320,鴞裊首領,,,(服飾)鴞裊首領帽(歸屬)(401187),,,,TRUE,成功於 2026-01-27 10:01 處理
,2026/1/15 下午 11:13:22,1504,無顱武士,,,無顱武士的手套(32201),,,,TRUE,成功於 2026-01-27 10:06 處理
奶油,2026/1/16 下午 3:47:19,2647,雄壯岩石龜,"血量: 87,680 -> 1,707,980",,,,,,TRUE,成功於 2026-01-16 16:04 處理
奶油,2026/1/16 下午 3:48:07,2848,迅捷刺尾蜻蜓,"血量: 23,400 -> 1,121,650",,,,,,TRUE,成功於 2026-01-16 16:04 處理
PENG,2026/1/16 下午 4:27:13,1216,梅納海葵,,,(服飾)嘴刁清涼汽水(歸屬)(420723),,,,TRUE,成功於 2026-01-27 10:01 處理
PENG,2026/1/16 下午 4:27:49,1213,獸人戰士長,,,(服飾)獸人頭盔(歸屬)(401188),,,,TRUE,成功於 2026-01-27 10:01 處理
PENG,2026/1/16 下午 4:29:45,1194,捲甲蟲,,,(服飾)鏟子頭飾(歸屬)(401077),,,,TRUE,成功於 2026-01-27 10:01 處理
青楓,2026/1/16 下午 4:48:33,2737,憤怒邪惡禮盒,"經驗值: ??? -> 524,690
職業經驗值: ??? -> 104,937",,,,,,TRUE,成功於 2026-01-16 22:15 處理
兩天,2026/1/16 下午 5:48:59,1104,松鼠,"經驗值: 1,352 -> 938
職業經驗值: 347 -> 187",,,,,,TRUE,成功於 2026-01-16 22:15 處理
兩天,2026/1/17 上午 12:32:26,1687,綠變色龍,"經驗值: 3,872 -> 4,119
職業經驗值: 1,063 -> 823",,,,,,TRUE,成功於 2026-01-17 20:56 處理
PENG,2026/1/17 上午 10:38:19,1316,岩石龜,,,(服飾)懶洋洋烏龜(歸屬)(401193),,,,TRUE,成功於 2026-01-27 10:01 處理
,2026/1/17 下午 4:56:21,1207,史汀,"經驗值: ??? -> 7,579
職業經驗值: ??? -> 1,515",,,,,,TRUE,成功於 2026-01-17 17:58 處理
,2026/1/17 下午 8:36:15,1193,鐘怪,,,(服飾)鐘怪假面(歸屬)(436025),,,,TRUE,成功於 2026-01-27 10:01 處理
兩天,2026/1/19 下午 4:03:21,1269,古鐘魔,"經驗值: ??? -> 21,894
職業經驗值: ??? -> 4,378",,,,,,TRUE,成功於 2026-01-20 07:58 處理
兩天,2026/1/19 下午 4:39:04,1216,梅納海葵,"經驗值: ??? -> 59,610",,,,,,TRUE,成功於 2026-01-20 07:58 處理
兩天,2026/1/19 下午 10:23:16,2717,憤怒梅納海葵,,,(服飾)嘴刁清涼汽水(31261),,,,TRUE,成功於 2026-01-27 10:01 處理
兩天,2026/1/19 下午 10:27:13,1179,白幽靈,,,(服飾)白幽靈面具(歸屬)(440030),,,,TRUE,成功於 2026-01-27 10:01 處理
,2026/1/19 下午 11:36:55,1194,捲甲蟲,"經驗值: 32,895 -> 9,863
職業經驗值: 6,579 -> 1,973",,,,,,TRUE,成功於 2026-01-20 07:59 處理
鳥腦袋,2026/1/20 上午 5:12:31,1140,馬爾杜克,"經驗值: ??? -> 79,803
職業經驗值: ??? -> 15,961",,,,,,TRUE,成功於 2026-01-20 07:59 處理
鳥腦袋,2026/1/20 下午 6:12:18,1146,黑狐,"經驗值: ??? -> 1,202
職業經驗值: ??? -> 241",,,,,,TRUE,成功於 2026-01-20 21:04 處理
兩天,2026/1/20 下午 6:51:38,1319,水靈龜,"經驗值: ??? -> 117,678
職業經驗值: ??? -> 23,535",,,,,,TRUE,成功於 2026-01-20 21:04 處理
