魔物名稱,等級,血量,95%迴避,100%命中,屬性,種族,體型,base經驗血量比(經驗值/血量),job經驗血量比,所屬地圖,魔物詳細資料
汙染幽靈弓箭手,105,2355718,487,433,暗2,惡魔,中,0,0,騎士團2樓 (gl_knt02),https://twroz.wiki/mob?search_query=20368
汙染幽靈劍士,120,2372683,451,462,暗2,人形,大,0,0,騎士團2樓 (gl_knt02),https://twroz.wiki/mob?search_query=20367
汙染海豹寶寶,64,0,0,0,水1,動物,中,,,克克魔海邊 (cmd_fild02),https://twroz.wiki/mob?search_query=22339
汙染海獺,65,0,0,0,水3,動物,中,,,克克魔海邊 (cmd_fild04),https://twroz.wiki/mob?search_query=22340
汙染啤酒企鵝,62,0,0,0,地1,動物,小,,,克克魔海邊 (cmd_fild02)；克克魔海邊 (cmd_fild04),https://twroz.wiki/mob?search_query=22338
汙染蝙蝠弓箭手,105,0,0,0,水3,惡魔,中,,,地下洞穴1樓 (gl_dun01),https://twroz.wiki/mob?search_query=20170
米杜沙,102,25887,360,373,無2,惡魔,中,0.6166,0.1904,西邊洞穴加露 (bea_d01_a)；西邊洞穴加露 (bea_d01_b)；西邊洞穴加露 (bea_d01_z)；西邊洞穴加露 (beach_dun),https://twroz.wiki/mob?search_query=1148
米洛斯,58,1729,297,305,火2,動物,大,0.6536,0.1301,人面獅身像地下4樓 (in_sphinx4)；金字塔地下1樓 (moc_pryd05)；金字塔地下1樓 (pry_d05_a)；金字塔地下1樓 (pry_d05_b)；金字塔地下1樓 (pry_d05_z)；人面獅身像地下4樓 (sp_d04_a)；人面獅身像地下4樓 (sp_d04_b)；人面獅身像地下4樓 (sp_d04_z),https://twroz.wiki/mob?search_query=1149
米雅畢,119,194346,356,323,暗1,惡魔,中,0,0,天津町 地下森林戰場 (ama_d02_a)；天津町 地下森林戰場 (ama_d02_b)；天津町 地下森林戰場 (ama_d02_z)；天津町 地下神舍 (ama_d03_a)；天津町 地下神舍 (ama_d03_b)；天津町 地下神舍 (ama_d03_z)；天津町 榻榻米迷宮 (ama_dun01)；天津町 地下森林戰場 (ama_dun02)；天津町 地下神舍 (ama_dun03)；天津町原野 (ama_f01_a)；天津町原野 (ama_f01_b)；天津町原野 (ama_f01_z)；天津町原野 (ama_fild01),https://twroz.wiki/mob?search_query=1404
米糕,103,138764,357,312,地3,無形,中,0.753,0,龍之城審良宮 (lou_d01_a)；龍之城審良宮 (lou_d01_b)；龍之城審良宮 (lou_d01_z)；龍之城王陵 (lou_dun01)；龍之城審良宮 (lou_f01_a)；龍之城審良宮 (lou_f01_b)；龍之城審良宮 (lou_f01_z)；龍之城原野 (lou_fild01),https://twroz.wiki/mob?search_query=1516
艾吉歐蜈蚣,97,22508,301,326,毒1,昆蟲,大,0.6,0.11,迷宮森林1樓 (maz_d01_a)；迷宮森林1樓 (maz_d01_b)；迷宮森林1樓 (maz_d01_z)；妙勒尼山脈北區 (mjolnir_05)；妙勒尼山脈南區 (mjolnir_11)；迷宮森林1樓 (prt_maze01),https://twroz.wiki/mob?search_query=1099
艾斯恩魔女,105,61350,431,378,無3,人形,中,0,0,地下監獄2樓 (gl_prison1),https://twroz.wiki/mob?search_query=1200
艾斯蜘蛛,56,4368,257,276,毒1,昆蟲,大,0.5998,0.1108,迷宮森林1樓 (maz_d01_a)；迷宮森林1樓 (maz_d01_b)；迷宮森林1樓 (maz_d01_z)；妙勒尼山脈南區 (mjolnir_10)；妙勒尼山脈南區 (mjolnir_11)；蘇克拉特沙漠 (moc_fild03)；蘇克拉特沙漠 (moc_fild13)；迷宮森林1樓 (prt_maze01),https://twroz.wiki/mob?search_query=1100
血腥騎士,116,848500,438,384,暗4,無形,大,0,0,騎士團2樓 (gl_knt02),https://twroz.wiki/mob?search_query=1268
血蝴蝶,122,204521,382,368,風2,昆蟲,中,0.6,0,崑崙西王母神殿 (gon_d01_a)；崑崙西王母神殿 (gon_d01_b)；崑崙西王母神殿 (gon_d01_z)；崑崙神仙的圍棋臺 (gon_d02_a)；崑崙神仙的圍棋臺 (gon_d02_b)；崑崙神仙的圍棋臺 (gon_d02_z)；崑崙西王母神殿 (gon_dun01)；崑崙神仙的圍棋臺 (gon_dun02),https://twroz.wiki/mob?search_query=1408
克萊本,105,178522,314,325,念2,無形,中,0,0,哎喲泰雅古代神殿內部 (ayo_d01_a)；哎喲泰雅古代神殿內部 (ayo_d01_b)；哎喲泰雅古代神殿內部 (ayo_d01_z)；哎喲泰雅古代神殿內部 (ayo_d02_a)；哎喲泰雅古代神殿內部 (ayo_d02_b)；哎喲泰雅古代神殿內部 (ayo_d02_z)；哎喲泰雅古代神殿迷宮 (ayo_dun01)；哎喲泰雅古代神殿內部 (ayo_dun02)；哎喲泰雅 原野 (ayo_f02_a)；哎喲泰雅 原野 (ayo_f02_b)；哎喲泰雅 原野 (ayo_f02_z)；哎喲泰雅 原野 (ayo_fild02),https://twroz.wiki/mob?search_query=1587
克瑞米,25,339,202,230,風1,昆蟲,小,0.7935,0.1563,冷豔舞姬村 (gef_f05_a)；冷豔舞姬村 (gef_f05_b)；冷豔舞姬村 (gef_f05_z)；冷豔舞姬村 (gef_fild05)；吉芬區域 (gef_fild07)；迷宮森林1樓 (maz_d01_a)；迷宮森林1樓 (maz_d01_b)；迷宮森林1樓 (maz_d01_z)；妙勒尼山脈北區 (mjolnir_01)；妙勒尼山脈南區 (mjolnir_06)；斐揚森林 (pay_fild07)；普隆德拉區域 (prt_f02_a)；普隆德拉區域 (prt_f02_b)；普隆德拉區域 (prt_f02_z)；普隆德拉區域 (prt_fild02)；迷宮森林1樓 (prt_maze01),https://twroz.wiki/mob?search_query=1018
兵蟻,34,897,232,253,地1,昆蟲,小,0.8997,0.1784,螞蟻地獄密穴1樓 (an_d01_a)；螞蟻地獄密穴1樓 (an_d01_b)；螞蟻地獄密穴1樓 (an_d01_z)；螞蟻地獄密穴2樓 (an_d02_a)；螞蟻地獄密穴2樓 (an_d02_b)；螞蟻地獄密穴2樓 (an_d02_z)；螞蟻地獄密穴1樓 (anthell01)；螞蟻地獄密穴2樓 (anthell02)；山特樂曼東區 (cmd_fild08)；山特樂曼南區 (cmd_fild09),https://twroz.wiki/mob?search_query=1105
吸血蝙蝠,24,396,214,243,暗1,動物,小,0.9091,0.1818,螞蟻地獄密穴1樓 (an_d01_a)；螞蟻地獄密穴1樓 (an_d01_b)；螞蟻地獄密穴1樓 (an_d01_z)；螞蟻地獄密穴2樓 (an_d02_a)；螞蟻地獄密穴2樓 (an_d02_b)；螞蟻地獄密穴2樓 (an_d02_z)；螞蟻地獄密穴1樓 (anthell01)；螞蟻地獄密穴2樓 (anthell02)；妙勒尼廢棄礦場1樓 (mjo_d01_a)；妙勒尼廢棄礦場1樓 (mjo_d01_b)；妙勒尼廢棄礦場1樓 (mjo_d01_z)；妙勒尼廢棄礦場1樓 (mjo_dun01)；金字塔1樓 (moc_pryd01)；獸人地下洞窟1樓 (orc_d01_a)；獸人地下洞窟1樓 (orc_d01_b)；獸人地下洞窟1樓 (orc_d01_z)；獸人地下洞窟1樓 (orcsdun01)；斐揚洞穴1樓 (pay_d00_a)；斐揚洞穴1樓 (pay_d00_b)；斐揚洞穴1樓 (pay_d00_z)；斐揚洞穴1樓 (pay_dun00)；普隆德拉城地下1樓 (prt_ca01)；地下水道1樓 (prt_d01_a)；地下水道1樓 (prt_d01_b)；地下水道1樓 (prt_d01_z)；地下水道2樓 (prt_d02_a)；地下水道2樓 (prt_d02_b)；地下水道2樓 (prt_d02_z)；地下水道3樓 (prt_d03_a)；地下水道3樓 (prt_d03_b)；地下水道3樓 (prt_d03_z)；地下水道4樓 (prt_d04_a)；地下水道4樓 (prt_d04_b)；地下水道4樓 (prt_d04_z)；地下水道1樓 (prt_sewb1)；地下水道2樓 (prt_sewb2)；地下水道3樓 (prt_sewb3)；地下水道4樓 (prt_sewb4)；金字塔1樓 (pry_d01_a)；金字塔1樓 (pry_d01_b)；金字塔1樓 (pry_d01_z),https://twroz.wiki/mob?search_query=1005
妖仙女,126,248013,379,355,暗3,惡魔,中,0.6,0,崑崙武陵道院 (gon_d03_a)；崑崙武陵道院 (gon_d03_b)；崑崙武陵道院 (gon_d03_z)；崑崙武陵道院 (gon_dun03),https://twroz.wiki/mob?search_query=1416
妖君,113,235517,345,329,不死2,不死,中,0,0,龍之城王陵內部 (lou_d02_a)；龍之城王陵內部 (lou_d02_b)；龍之城王陵內部 (lou_d02_z)；龍之城審良宮 (lou_d03_a)；龍之城審良宮 (lou_d03_b)；龍之城審良宮 (lou_d03_z)；龍之城王陵內部 (lou_dun02)；龍之城審良宮 (lou_dun03),https://twroz.wiki/mob?search_query=1512
妖道,59,4873,269,285,不死1,不死,中,0.6788,0.1699,斐揚洞穴3樓 (pay_d02_a)；斐揚洞穴3樓 (pay_d02_b)；斐揚洞穴3樓 (pay_d02_z)；斐揚洞穴4樓-廢村 (pay_d03_a)；斐揚洞穴4樓-廢村 (pay_d03_b)；斐揚洞穴4樓-廢村 (pay_d03_z)；斐揚洞穴3樓 (pay_dun02)；斐揚洞穴4樓-廢村 (pay_dun03),https://twroz.wiki/mob?search_query=1188
巫婆,88,106304,341,336,暗1,人形,中,0.6,0.12,鐘塔地下4樓 (alde_dun04)；鐘塔1樓 (tow_d01_a)；鐘塔1樓 (tow_d01_b)；鐘塔1樓 (tow_d01_z),https://twroz.wiki/mob?search_query=1102
沙漠幼狼,14,113,203,227,火1,動物,小,2.9027,0.6018,蘇克拉特沙漠 (moc_f12_a)；蘇克拉特沙漠 (moc_f12_b)；蘇克拉特沙漠 (moc_f12_z)；蘇克拉特沙漠 (moc_f18_a)；蘇克拉特沙漠 (moc_f18_b)；蘇克拉特沙漠 (moc_f18_z)；蘇克拉特沙漠 (moc_fild11)；蘇克拉特沙漠 (moc_fild12)；蘇克拉特沙漠 (moc_fild18),https://twroz.wiki/mob?search_query=1107
狂暴大腳熊,118,286958,374,358,地1,動物,大,0,0,青林湖密穴1樓 (gld_dun01)；青林湖密穴2樓 (gld_dun01_2),https://twroz.wiki/mob?search_query=1306
狂暴木乃伊,114,27157,446,374,不死2,不死,中,0,0,金字塔地下2樓 (moc_pryd06)；金字塔地下2樓 (pry_d06_a)；金字塔地下2樓 (pry_d06_b)；金字塔地下2樓 (pry_d06_z),https://twroz.wiki/mob?search_query=1297
狂暴米洛斯,107,28877,379,374,火2,動物,大,0,0,地下洞穴2樓 (gl_d02_a)；地下洞穴2樓 (gl_d02_b)；地下洞穴2樓 (gl_d02_z)；地下洞穴2樓 (gl_dun02),https://twroz.wiki/mob?search_query=1310
狂暴克瑞米,117,319602,376,359,風1,昆蟲,小,0,0,巴基力雷恩密穴1樓 (gld_dun03)；巴基力雷恩密穴2樓 (gld_dun03_2),https://twroz.wiki/mob?search_query=1293
狂暴哥布靈,62,5472,317,328,風2,人形,中,0.318,0.1113,普隆德拉區域 (prt_f11_a)；普隆德拉區域 (prt_f11_b)；普隆德拉區域 (prt_f11_z)；普隆德拉區域 (prt_fild11),https://twroz.wiki/mob?search_query=1308
狂暴野豬,120,318996,371,377,地2,動物,大,0,0,青林湖密穴1樓 (gld_dun01)；青林湖密穴2樓 (gld_dun01_2),https://twroz.wiki/mob?search_query=1311
狂暴野貓,91,12776,356,394,風1,動物,小,0.6,0.12,汶巴拉滬家叢林 (um_fild04),https://twroz.wiki/mob?search_query=1261
狂暴惡靈,121,448331,412,399,不死4,不死,大,0,0.2057,怖立特離亞密穴1樓 (gld_dun04)；怖立特離亞密穴2樓 (gld_dun04_2),https://twroz.wiki/mob?search_query=1291
狂暴蜂兵,120,332910,375,371,風1,昆蟲,小,0,0,露依納密穴1樓 (gld_dun02)；露依納密穴2樓 (gld_dun02_2),https://twroz.wiki/mob?search_query=1303
狂暴蜈蚣,121,383122,389,385,毒1,昆蟲,大,0,0,露依納密穴1樓 (gld_dun02)；露依納密穴2樓 (gld_dun02_2),https://twroz.wiki/mob?search_query=1305
狂暴綠棉蟲,121,313474,360,367,地1,昆蟲,小,0,0,巴基力雷恩密穴1樓 (gld_dun03)；巴基力雷恩密穴2樓 (gld_dun03_2),https://twroz.wiki/mob?search_query=1300
狄奧斯,60,2324,285,289,水4,魚貝,中,0,0,海盜地洞密穴5樓 (iz_d04_a)；海盜地洞密穴5樓 (iz_d04_b)；海盜地洞密穴5樓 (iz_d04_z)；海底洞穴5樓 (iz_dun04),https://twroz.wiki/mob?search_query=1108
禿鷹,12,105,196,220,風1,動物,中,3.0476,0.5905,蘇克拉特沙漠 (moc_f12_a)；蘇克拉特沙漠 (moc_f12_b)；蘇克拉特沙漠 (moc_f12_z)；蘇克拉特沙漠 (moc_f18_a)；蘇克拉特沙漠 (moc_f18_b)；蘇克拉特沙漠 (moc_f18_z)；蘇克拉特沙漠 (moc_fild11)；蘇克拉特沙漠 (moc_fild12)；蘇克拉特沙漠 (moc_fild18),https://twroz.wiki/mob?search_query=1009
貝殼魔靈,60,4773,262,273,水1,魚貝,小,0.6,0.1695,克克魔海邊 (cmd_f02_a)；克克魔海邊 (cmd_f02_b)；克克魔海邊 (cmd_f02_z)；克克魔海邊 (cmd_fild02)；克克魔海邊 (cmd_fild04)；發樂斯燈塔 (cmd_fild07),https://twroz.wiki/mob?search_query=1074
赤蒼蠅,63,5991,338,338,風2,昆蟲,小,0.5999,0.1198,吉芬地下密穴1樓 (gef_d00_a)；吉芬地下密穴1樓 (gef_d00_b)；吉芬地下密穴1樓 (gef_d00_z)；吉芬地下密穴3樓 (gef_d02_a)；吉芬地下密穴3樓 (gef_d02_b)；吉芬地下密穴3樓 (gef_d02_z)；吉芬地下密穴1樓 (gef_dun00)；吉芬地下密穴3樓 (gef_dun02)；地下公墓 (gl_chy_a)；地下公墓 (gl_chy_b)；地下公墓 (gl_chy_z)；地下公墓 (gl_chyard)；地下洞穴1樓 (gl_dun01)；地下監獄1樓 (gl_pri_a)；地下監獄1樓 (gl_pri_b)；地下監獄1樓 (gl_pri_z)；地下監獄1樓 (gl_prison)；迷宮森林1樓 (maz_d01_a)；迷宮森林1樓 (maz_d01_b)；迷宮森林1樓 (maz_d01_z)；迷宮森林3樓 (maz_d03_a)；迷宮森林3樓 (maz_d03_b)；迷宮森林3樓 (maz_d03_z)；妙勒尼山脈北邊山麓 (mjolnir_12)；迷宮森林1樓 (prt_maze01)；迷宮森林3樓 (prt_maze03),https://twroz.wiki/mob?search_query=1035
迅捷小野豬,14,635,211,225,地1,動物,小,8.126,1.6126,妙勒尼山脈南邊山麓 (mjolnir_09),https://twroz.wiki/mob?search_query=2671
迅捷木乃伊,55,10775,293,259,不死2,不死,中,0,0,金字塔3樓 (moc_pryd03)；金字塔3樓 (pry_d03_a)；金字塔3樓 (pry_d03_b)；金字塔3樓 (pry_d03_z),https://twroz.wiki/mob?search_query=2739
迅捷牛蛙,121,24380,337,335,毒2,動物,中,0,0,天津町 地下森林戰場 (ama_d02_a)；天津町 地下森林戰場 (ama_d02_b)；天津町 地下森林戰場 (ama_d02_z)；天津町 地下森林戰場 (ama_dun02),https://twroz.wiki/mob?search_query=2704
迅捷米杜沙,102,129435,360,373,無2,惡魔,中,1.8498,0.5712,西邊洞穴加露 (bea_d01_a)；西邊洞穴加露 (bea_d01_b)；西邊洞穴加露 (bea_d01_z)；西邊洞穴加露 (beach_dun),https://twroz.wiki/mob?search_query=2759
迅捷米洛斯,58,9465,297,305,火2,動物,大,0,0,人面獅身像地下4樓 (in_sphinx4)；人面獅身像地下4樓 (sp_d04_a)；人面獅身像地下4樓 (sp_d04_b)；人面獅身像地下4樓 (sp_d04_z),https://twroz.wiki/mob?search_query=2749
迅捷艾吉歐蜈蚣,97,11253,301,326,毒1,昆蟲,大,13.3458,4.009,妙勒尼山脈北區 (mjolnir_05),https://twroz.wiki/mob?search_query=2892
迅捷血蝴蝶,122,2249731,382,368,風2,昆蟲,中,0,0,崑崙西王母神殿 (gon_d01_a)；崑崙西王母神殿 (gon_d01_b)；崑崙西王母神殿 (gon_d01_z)；崑崙西王母神殿 (gon_dun01),https://twroz.wiki/mob?search_query=2883
迅捷克瑞米,25,1695,202,230,風1,昆蟲,小,4.7611,1.1676,冷豔舞姬村 (gef_f05_a)；冷豔舞姬村 (gef_f05_b)；冷豔舞姬村 (gef_f05_z)；冷豔舞姬村 (gef_fild05),https://twroz.wiki/mob?search_query=2863
迅捷邪骸海盜,48,0,0,0,不死1,不死,中,,,失事輪1樓 (tre_d01_a)；失事輪1樓 (tre_d01_b)；失事輪1樓 (tre_d01_z)；失事輪1樓 (treasure01),https://twroz.wiki/mob?search_query=25128
迅捷邪骸獸人,53,16880,248,270,不死1,不死,中,2.3069,0.5678,獸人地下洞窟2樓 (orc_d02_a)；獸人地下洞窟2樓 (orc_d02_b)；獸人地下洞窟2樓 (orc_d02_z)；獸人地下洞窟2樓 (orcsdun02),https://twroz.wiki/mob?search_query=2724
迅捷刺刀哥布靈,57,18925,266,313,風1,人形,中,2.0544,0.5775,吉芬區域 (gef_f11_a)；吉芬區域 (gef_f11_b)；吉芬區域 (gef_f11_z)；吉芬區域 (gef_fild11),https://twroz.wiki/mob?search_query=2814
迅捷刺尾蜻蜓,86,1121650,324,355,風2,昆蟲,中,0.945,0.189,龜島 (tur_d01_a)；龜島 (tur_d01_b)；龜島 (tur_d01_z)；龜島 (tur_dun01),https://twroz.wiki/mob?search_query=2848
迅捷刺蝟蟲,27,2365,230,238,地1,動物,小,4.0211,0.9522,妙勒尼山脈北區 (mjolnir_01),https://twroz.wiki/mob?search_query=2878
迅捷帕莎納,118,,369,355,火2,人形,中,,,人面獅身像地下5樓 (in_sphinx5)；人面獅身像地下5樓 (sp_d05_a)；人面獅身像地下5樓 (sp_d05_b)；人面獅身像地下5樓 (sp_d05_z),https://twroz.wiki/mob?search_query=2719
迅捷松鼠,41,7820,252,256,地1,動物,小,2.5934,0.6657,吉芬區域 (gef_fild09),https://twroz.wiki/mob?search_query=2868
迅捷波利,1,275,178,203,水1,植物,中,16.3636,1.4182,吉芬區域 (gef_fild07)；普隆德拉區域 (prt_f08_a)；普隆德拉區域 (prt_f08_b)；普隆德拉區域 (prt_f08_z)；普隆德拉區域 (prt_fild08),https://twroz.wiki/mob?search_query=2699
迅捷長老樹精,37,5440,236,251,火2,植物,中,2.9063,0.7653,普隆德拉區域 (prt_fild10),https://twroz.wiki/mob?search_query=2839
迅捷重金屬蝗蟲,66,29440,298,296,火1,昆蟲,中,1.8801,0.5415,山特樂曼南區 (cmd_fild09),https://twroz.wiki/mob?search_query=2754
迅捷海豹寶寶,56,21840,267,299,水1,動物,中,1.7074,0.4781,克克魔海邊 (cmd_f02_a)；克克魔海邊 (cmd_f02_b)；克克魔海邊 (cmd_f02_z)；克克魔海邊 (cmd_fild02),https://twroz.wiki/mob?search_query=2829
迅捷狼,54,17670,258,279,地1,動物,中,2.0289,0.538,蘇克拉特沙漠 (moc_fild03),https://twroz.wiki/mob?search_query=2613
迅捷鬼女,64,28310,283,293,水1,惡魔,中,1.7999,0.3598,斐揚洞穴4樓-廢村 (pay_d03_a)；斐揚洞穴4樓-廢村 (pay_d03_b)；斐揚洞穴4樓-廢村 (pay_d03_z)；斐揚洞穴4樓-廢村 (pay_dun03),https://twroz.wiki/mob?search_query=2651
迅捷將軍魔碑,66,27815,270,300,火2,無形,中,1.9899,0.5731,斐揚森林 (pay_fild10),https://twroz.wiki/mob?search_query=2809
迅捷畢帝特地龍,86,118055,327,322,地1,龍,中,1.6612,0.4822,吉芬區域 (gef_fild08),https://twroz.wiki/mob?search_query=2714
迅捷傘妖,100,15460,326,357,無3,無形,中,0,0,天津町原野 (ama_f01_a)；天津町原野 (ama_f01_b)；天津町原野 (ama_f01_z)；天津町原野 (ama_fild01),https://twroz.wiki/mob?search_query=2789
迅捷森林妖姬,88,80565,335,304,地4,植物,中,1.4545,0.4118,汶巴拉嚕嚕卡森林 (um_fild01),https://twroz.wiki/mob?search_query=2843
迅捷溜溜猴,41,7820,233,254,地1,動物,小,2.5934,0.6657,普隆德拉區域 (prt_fild03),https://twroz.wiki/mob?search_query=2608
迅捷銀月魔女,109,165340,400,374,暗4,惡魔,大,9.81,0.5788,尼芙菲姆鬼峽谷 (nif_f02_a)；尼芙菲姆鬼峽谷 (nif_f02_b)；尼芙菲姆鬼峽谷 (nif_f02_z)；尼芙菲姆鬼峽谷 (nif_fild02),https://twroz.wiki/mob?search_query=2774
迅捷魔菇,18,1115,200,223,水1,植物,中,4.7085,1.0933,斐揚森林 (pay_f08_a)；斐揚森林 (pay_f08_b)；斐揚森林 (pay_f08_z)；斐揚森林 (pay_fild08),https://twroz.wiki/mob?search_query=2646
邪惡使者,95,38413,369,364,暗2,不死,中,0,0,地下監獄1樓 (gl_pri_a)；地下監獄1樓 (gl_pri_b)；地下監獄1樓 (gl_pri_z)；地下監獄1樓 (gl_prison)；地下監獄2樓 (gl_prison1),https://twroz.wiki/mob?search_query=1257
邪惡摩艾,65,6335,335,279,無4,無形,大,0.6279,0.1855,北邊洞穴盧安達 (bea_d02_a)；北邊洞穴盧安達 (bea_d02_b)；北邊洞穴盧安達 (bea_d02_z)；北邊洞穴盧安達 (beach_dun2),https://twroz.wiki/mob?search_query=1274
邪惡箱,56,1707,335,376,無3,無形,中,0.5999,0.1195,天津町 地下神舍 (ama_d03_a)；天津町 地下神舍 (ama_d03_b)；天津町 地下神舍 (ama_d03_z)；天津町 地下神舍 (ama_dun03)；鐘塔2樓 (c_tower2)；鐘塔3樓 (c_tower3)；鐘塔4樓 (c_tower4)；克雷斯特漢姆古城2樓 (gl_c02_a)；克雷斯特漢姆古城2樓 (gl_c02_b)；克雷斯特漢姆古城2樓 (gl_c02_z)；克雷斯特漢姆古城2樓 (gl_cas02)；修道院 (gl_chu_a)；修道院 (gl_chu_b)；修道院 (gl_chu_z)；修道院 (gl_church)；地下公墓 (gl_chy_a)；地下公墓 (gl_chy_b)；地下公墓 (gl_chy_z)；地下公墓 (gl_chyard)；人面獅身像地下3樓 (in_sphinx3)；人面獅身像地下4樓 (in_sphinx4)；人面獅身像地下5樓 (in_sphinx5)；龍之城王陵內部 (lou_d02_a)；龍之城王陵內部 (lou_d02_b)；龍之城王陵內部 (lou_d02_z)；龍之城王陵內部 (lou_dun02)；金字塔3樓 (moc_pryd03)；金字塔4樓 (moc_pryd04)；金字塔地下2樓 (moc_pryd06)；金字塔3樓 (pry_d03_a)；金字塔3樓 (pry_d03_b)；金字塔3樓 (pry_d03_z)；金字塔4樓 (pry_d04_a)；金字塔4樓 (pry_d04_b)；金字塔4樓 (pry_d04_z)；金字塔地下2樓 (pry_d06_a)；金字塔地下2樓 (pry_d06_b)；金字塔地下2樓 (pry_d06_z)；人面獅身像地下3樓 (sp_d03_a)；人面獅身像地下3樓 (sp_d03_b)；人面獅身像地下3樓 (sp_d03_z)；人面獅身像地下4樓 (sp_d04_a)；人面獅身像地下4樓 (sp_d04_b)；人面獅身像地下4樓 (sp_d04_z)；人面獅身像地下5樓 (sp_d05_a)；人面獅身像地下5樓 (sp_d05_b)；人面獅身像地下5樓 (sp_d05_z)；鐘塔2樓 (tow_d02_a)；鐘塔2樓 (tow_d02_b)；鐘塔2樓 (tow_d02_z)；鐘塔3樓 (tow_d03_a)；鐘塔3樓 (tow_d03_b)；鐘塔3樓 (tow_d03_z),https://twroz.wiki/mob?search_query=1191
邪惡禮盒,78,70200,287,302,無3,無形,中,0.6,0.1108,玩具分類場 (xma_d02_a)；玩具分類場 (xma_d02_b)；玩具分類場 (xma_d02_z)；玩具分類場 (xmas_dun02),https://twroz.wiki/mob?search_query=1249
邪骸士兵,34,1174,234,244,不死1,不死,中,0.8211,0.1857,金字塔2樓 (moc_pryd02)；斐揚洞穴2樓 (pay_d01_a)；斐揚洞穴2樓 (pay_d01_b)；斐揚洞穴2樓 (pay_d01_z)；斐揚洞穴3樓 (pay_d02_a)；斐揚洞穴3樓 (pay_d02_b)；斐揚洞穴3樓 (pay_d02_z)；斐揚洞穴2樓 (pay_dun01)；斐揚洞穴3樓 (pay_dun02)；金字塔2樓 (pry_d02_a)；金字塔2樓 (pry_d02_b)；金字塔2樓 (pry_d02_z),https://twroz.wiki/mob?search_query=1028
邪骸弓箭手,50,3280,256,280,不死1,不死,中,0.6,0.1198,金字塔2樓 (moc_pryd02)；斐揚洞穴2樓 (pay_d01_a)；斐揚洞穴2樓 (pay_d01_b)；斐揚洞穴2樓 (pay_d01_z)；斐揚洞穴3樓 (pay_d02_a)；斐揚洞穴3樓 (pay_d02_b)；斐揚洞穴3樓 (pay_d02_z)；斐揚洞穴5樓-廢村 (pay_d04_a)；斐揚洞穴5樓-廢村 (pay_d04_b)；斐揚洞穴5樓-廢村 (pay_d04_z)；斐揚洞穴2樓 (pay_dun01)；斐揚洞穴3樓 (pay_dun02)；斐揚洞穴5樓-廢村 (pay_dun04)；金字塔2樓 (pry_d02_a)；金字塔2樓 (pry_d02_b)；金字塔2樓 (pry_d02_z),https://twroz.wiki/mob?search_query=1016
邪骸食人魚,46,2665,250,273,不死1,不死,中,0.6852,0.1636,東邊洞穴馬吾 (bea_d03_a)；東邊洞穴馬吾 (bea_d03_b)；東邊洞穴馬吾 (bea_d03_z)；東邊洞穴馬吾 (beach_dun3),https://twroz.wiki/mob?search_query=1064
邪骸浪人,120,111732,470,418,風1,惡魔,中,0,0,克雷斯特漢姆古城2樓 (gl_c02_a)；克雷斯特漢姆古城2樓 (gl_c02_b)；克雷斯特漢姆古城2樓 (gl_c02_z)；克雷斯特漢姆古城2樓 (gl_cas02)；克雷斯特漢姆 室內 (gl_in01),https://twroz.wiki/mob?search_query=1208
邪骸海盜,48,1411,251,275,不死1,不死,中,0,0,失事輪1樓 (tre_d01_a)；失事輪1樓 (tre_d01_b)；失事輪1樓 (tre_d01_z)；失事輪2樓 (tre_d02_a)；失事輪2樓 (tre_d02_b)；失事輪2樓 (tre_d02_z)；失事輪1樓 (treasure01)；失事輪2樓 (treasure02),https://twroz.wiki/mob?search_query=1071
邪骸戰士,27,600,216,242,不死1,不死,中,1.0567,0.2267,斐揚洞穴1樓 (pay_d00_a)；斐揚洞穴1樓 (pay_d00_b)；斐揚洞穴1樓 (pay_d00_z)；斐揚洞穴1樓 (pay_dun00),https://twroz.wiki/mob?search_query=1076
邪骸戰俘,91,34799,351,329,不死3,不死,中,0,0,地下監獄2樓 (gl_prison1),https://twroz.wiki/mob?search_query=1196
邪骸獸人,53,3376,248,270,不死1,不死,中,0.769,0.1893,獸人地下洞窟1樓 (orc_d01_a)；獸人地下洞窟1樓 (orc_d01_b)；獸人地下洞窟1樓 (orc_d01_z)；獸人地下洞窟2樓 (orc_d02_a)；獸人地下洞窟2樓 (orc_d02_b)；獸人地下洞窟2樓 (orc_d02_z)；獸人地下洞窟1樓 (orcsdun01)；獸人地下洞窟2樓 (orcsdun02),https://twroz.wiki/mob?search_query=1152
邪骸礦工,88,101288,332,314,不死1,不死,中,0.622,0.1185,妙勒尼 廢棄礦場2樓 (mjo_d02_a)；妙勒尼 廢棄礦場2樓 (mjo_d02_b)；妙勒尼 廢棄礦場2樓 (mjo_d02_z)；妙勒尼廢棄礦場3樓 (mjo_d03_a)；妙勒尼廢棄礦場3樓 (mjo_d03_b)；妙勒尼廢棄礦場3樓 (mjo_d03_z)；妙勒尼 廢棄礦場2樓 (mjo_dun02)；妙勒尼廢棄礦場3樓 (mjo_dun03),https://twroz.wiki/mob?search_query=1169
